sample_name;time;treatment;rep;sample_ID;resp_basal;resp_induc;cfu_actino;cfu_bact;cfu_fungi;colonisation;spore_amf;org.matter;phosphorus;calcium ;magnesium ;sodium;potassium;ph.water;pH.chloride;conductivity;nitrogen
S035;T1;pellet;B;S035_T1_pellet_B;2.726.281.352;6.679.389.313;90500;6250000;136500;;;;;;;;;;;;
S036;T1;pellet;C;S036_T1_pellet_C;292.449.486;7.444.168.734;49000;1070000;131500;;;;;;;;;;;;
S037;T1;compost;A;S037_T1_compost_A;3.315.063.649;9.282.178.218;260000;835000;177000;;;;;;;;;;;;
S038;T1;compost;B;S038_T1_compost_B;2.039.521.392;8.565.989.848;800000;4850000;167500;;;;;;;;;;;;
S039;T1;compost;C;S039_T1_compost_C;2.869.897.959;7.653.061.224;520000;1190000;171000;;;;;;;;;;;;
S040;T1;control_legumes;A;S040_T1_control_legumes_A;3.183.831.672;9.689.922.481;433000;1835000;249000;;;;;;;;;;;;
S041;T1;control_legumes;B;S041_T1_control_legumes_B;3.599.114.064;1.647.286.822;445000;8750000;231000;;;;;;;;;;;;
S042;T1;control_legumes;C;S042_T1_control_legumes_C;3.562.294.483;1.630.434.783;420000;1615000;144000;;;;;;;;;;;;
S043;T2;control;A;S043_T2_control_A;1.147.959.184;62.5;405000;405000;100000;;;1.624;46.5;236;59.2;25.9;53.1;8.48;7.17;0.24;0.07
S044;T2;control;B;S044_T2_control_B;1.284.686.536;7.194.244.604;1110000;1110000;123000.5;;;17.745;53.5;234;57.6;27.8;53.1;8.46;7.2;0.19;0.08
S045;T2;control;C;S045_T2_control_C;7.763.975.155;1.222.826.087;830000;830000;136000;;;1.702;51;225;57.6;25.4;54.4;8.58;7.24;0.22;0.07
S046;T2;control_amf;A;S046_T2_control_amf_A;1.838.235.294;78.125;630000;630000;99000.5;;;2.108;55.8;214;53.5;22.4;53.1;8.42;7.2;0.24;0.09
S047;T2;control_amf;B;S047_T2_control_amf_B;3.790.431.267;1.061.320.755;575000;575000;92000;;;1.748;42.1;234;59.2;25.9;53.7;8.52;7.35;0.24;0.06
S048;T2;control_amf;C;S048_T2_control_amf_C;1.409.774.436;9.419.856.459;535000;535000;112000.5;;;2.09;52.6;233;57.6;26.8;51.8;8.27;7.19;0.31;0.08
S049;T2;chicken;A;S049_T2_chicken_A;2.398.720.682;2.705.223.881;5800000;5800000;151000.5;;;2.627;133.6;373;62.5;22.2;65.9;7.34;6.83;1.43;0.16
S050;T2;chicken;B;S050_T2_chicken_B;1.309.814.879;2.246.332.518;6300000;6300000;176000.5;;;2.783;125.5;291;51;19.6;88.9;7.64;7.06;0.96;0.14
S051;T2;chicken;C;S051_T2_chicken_C;1.607.142.857;262.5;2200000;2200000;159000.5;;;3.113;136.8;285;52.7;20.7;52.4;7.59;7;1.06;0.14
S052;T2;cow;A;S052_T2_cow_A;262.605.042;7.334.963.325;1030000;1030000;120000.5;;;3.66;139.3;264;69.1;25.7;61.4;8.41;7.36;0.33;0.17
