sample_name,time,treatment,rep,sample_ID,,resp_basal,resp_induc,cfu_actino,cfu_bact,cfu_fungi,colonisation,spore_amf,org.matter,phosphorus,calcium ,magnesium ,sodium,potassium,ph.water,pH.chloride,conductivity,nitrogen
S051,T2,chicken,C,S051_T2_chicken_C,,16.07142857,262.5,2200000,2200000,159000.5,,,3.113,136.8,285,52.7,20.7,52.4,7.59,7,1.06,0.14
S052,T2,cow,A,S052_T2_cow_A,,26.2605042,73.34963325,1030000,1030000,120000.5,,,3.66,139.3,264,69.1,25.7,61.4,8.41,7.36,0.33,0.17
S053,T2,cow,B,S053_T2_cow_B,,24.6454514,108.9588378,3250000,3250000,164000,,,3.648,125.4,276,71.6,27.4,61.4,8.58,7.53,0.27,0.14
S054,T2,cow,C,S054_T2_cow_C,,19.36316695,126.5060241,1080000,1080000,113000.5,,,3.67,133.4,272,72.4,25.9,60.7,8.46,7.52,0.38,0.15
S055,T2,pellet,A,S055_T2_pellet_A,,22.26685295,101.7099057,1050000,1050000,125000.5,,,3.743,71.8,228,51,24.4,51.8,8.57,7.57,0.3,0.16
S056,T2,pellet,B,S056_T2_pellet_B,,24.6454514,90.79903148,4300000,4300000,187000.5,,,3.63,76.6,278,55.1,29.1,54.4,8.47,7.65,0.49,0.16
S057,T2,pellet,C,S057_T2_pellet_C,,30.19957983,105.6985294,2750000,2750000,100000,,,3.827,73.6,300,51.8,25,19.1,8.53,7.67,0.38,0.17
S058,T2,compost,A,S058_T2_compost_A,,22.7425876,101.7099057,1320000,1320000,133000.5,,,4.3982,55.6,286,52.7,30.7,20.5,8.16,7.25,0.45,0.15
S059,T2,compost,B,S059_T2_compost_B,,28.53683846,90.79903148,1160000,1160000,123000,,,4.219,61,270,69.1,29.1,18.9,8.28,7.17,0.39,0.13
S060,T2,compost,C,S060_T2_compost_C,,20.31144211,106.6350711,1000000,1000000,134000.5,,,3.857,54.5,178,71.6,28.1,20.1,8.22,7.15,0.4,0.13
S061,T2,control_legumes,A,S061_T2_control_legumes_A,,34.1654519,133.9285714,1340000,1340000,167000,,,3.656,64.9,275,72.4,26.1,19.9,8.29,7.53,0.53,0.14
S062,T2,control_legumes,B,S062_T2_control_legumes_B,,37.76575905,112.5979112,2480000,2480000,198000,,,4.042,68.7,237,53.5,25,15.2,8.26,7.5,0.49,0.11
S063,T2,control_legumes,C,S063_T2_control_legumes_C,,42.40482473,133.5751979,3110000,3110000,257000,,,4.288,71.5,361,54.3,25,13.8,8.33,7.59,0.51,0.16
S064,T3,control,A,S064_T3_control_A,,13.2602546,46.41089109,955000,955000,125000,,,1.40,37.10,132.00,69.90,32.60,18.20,8.74,7.58,0.18,0.09
S065,T3,control,B,S065_T3_control_B,,11.93422914,41.76980198,390000,390000,97500,,,1.93,44.50,135.00,73.20,32.60,16.60,8.36,7.21,0.24,0.10
S066,T3,control,C,S066_T3_control_C,,3.987947536,13.95781638,595000,595000,148000,,,1.80,41.80,124.00,73.20,28.70,16.60,8.67,7.47,0.21,0.09
S067,T3,control_amf,A,S067_T3_control_amf_A,,14.55026455,50.92592593,1000000,1000000,195000,,,1.62,43.30,132.00,72.40,28.30,15.10,8.68,7.40,0.17,0.09
S068,T3,control_amf,B,S068_T3_control_amf_B,,7.820646507,27.37226277,555000,555000,95000,,,1.65,40.60,145.00,74.90,30.40,16.60,8.75,7.46,0.18,0.10
S069,T3,control_amf,C,S069_T3_control_amf_C,,11.56217883,40.4676259,990000,990000,94000,,,1.54,45.90,144.00,69.90,31.30,16.60,8.33,7.20,0.27,0.09
S070,T3,chicken,A,S070_T3_chicken_A,,58.81350153,205.8472554,12100000,12100000,148000,,,2.38,83.60,199.00,78.20,33.90,23.80,7.52,7.11,1.52,0.17
S071,T3,chicken,B,S071_T3_chicken_B,,39.96003996,139.8601399,3150000,3150000,162500,,,2.58,91.90,190.00,69.10,29.60,20.70,7.59,7.10,0.10,0.19
S072,T3,chicken,C,S072_T3_chicken_C,,49.6031746,173.6111111,3450000,3450000,149000,,,4.49,99.40,216.00,72.40,34.80,23.30,7.51,7.08,0.51,0.18
S073,T3,cow,A,S073_T3_cow_A,,21.06002106,51.17866005,1180000,1180000,150500,,,4.21,112.80,179.00,86.40,35.20,26.90,8.09,7.19,0.50,0.20
S074,T3,cow,B,S074_T3_cow_B,,41.01161996,143.5406699,3250000,3250000,88500,,,3.45,129.10,172.00,86.40,33.10,28.60,8.17,7.26,0.43,0.20
