#OTU ID	ExtrCTRL	NTC	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126
ZOTU1726	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0
ZOTU146	2	1	12	0	26	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	1	11	5	39	0	0	1	5	0	0	1	1	31	1	310	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	91	1	0	0	845	2	1	0	26	0	0	0	0	0	1	0	0	1	0	0	0	0	105	1	0	1	0	0	0	0	86	12	1	3	14	0	0	21	0	0	24	44	44	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	90	0	0	0	0	0
ZOTU190	3	0	99	108	108	202	158	133	22	10	18	210	29	8	113	11	80	38	63	43	65	68	113	447	126	71	16	234	153	62	11	17	484	19	25	25	111	247	3	22	57	106	27	60	5	103	6	214	292	151	1	2	15	1	0	27	1	6	99	163	184	609	35	160	116	127	143	903	5	164	46	31	40	122	40	136	63	52	3	62	380	217	56	19	13	9	205	153	179	69	68	147	138	84	30	58	66	50	99	134	195	173	131	250	7	147	197	77	558	532	105	119	91	1	74	33	321	52	3	5	713	2	6	32	30	5	164	2
ZOTU565	2	5	143	53	220	108	248	275	320	420	119	55	40	35	40	20	36	96	74	35	95	214	214	715	146	121	94	505	196	670	398	513	278	31	31	180	139	47	5	173	33	1037	218	127	229	133	209	184	680	95	612	746	242	1108	113	48	28	44	23	111	129	279	68	35	43	300	183	572	667	461	447	891	422	1722	472	40	54	237	43	166	58	6	294	264	69	64	666	148	200	351	92	128	270	343	258	121	101	143	600	367	86	81	6	226	427	832	629	944	706	193	514	85	179	47	280	89	30	241	260	177	0	716	211	92	129	944	142	104
ZOTU597	1	1	243	275	428	83	444	304	54	15	9	397	146	141	160	5	42	12	150	141	337	198	340	488	95	295	292	324	349	1	34	43	344	151	106	295	48	115	13	1058	83	290	129	214	120	643	323	482	180	707	2	18	10	71	6	154	1991	115	97	256	371	983	1029	998	1839	651	368	594	554	331	503	6	54	2	69	112	184	147	175	388	265	5	218	140	218	82	237	229	181	209	51	110	19	15	6	74	69	26	153	285	559	191	147	220	326	204	419	174	304	156	220	220	806	3	16	0	44	181	3	2	784	603	3	353	328	714	301	265
ZOTU2515	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU132	4	9	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	3	1	1	2	0	4	3	5	0	6	3	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	88	177	94	1	54	0	1	4	2	11	1	0	150	2	0	15	16	9	2201	99	845	77	2123	12507	2300	8931	18	5	13
ZOTU1675	2	1	1	0	0	0	0	1	0	0	1	1	1	3	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	72	12	7	104	23	15	0	0	0	0	0	1	61	69	212	216	88	0	193	53	0	298	202	196	27	204	11	0	1	0	51	120	51	1043	627	327	457	258	163	90	43	296
ZOTU1998	5	8	202	184	290	235	170	176	64	56	57	275	275	139	72	119	179	68	159	172	372	334	271	232	293	292	221	157	623	37	110	78	297	210	172	235	318	230	230	487	288	221	288	181	147	798	405	546	318	447	50	49	38	84	173	73	118	290	203	264	361	532	120	213	155	261	242	270	79	729	214	164	203	122	195	227	119	244	261	413	603	276	171	43	17	44	157	193	302	219	134	311	27	142	50	400	65	199	254	868	374	192	361	216	442	621	655	159	151	256	416	615	328	131	158	95	280	994	1471	1234	246	729	535	656	224	334	235	864
ZOTU549	1	0	15	0	21	129	8	140	0	0	0	11	0	16	0	3	2	0	14	0	1	7	4	14	387	16	51	111	9	0	1	2	32	1	0	3	25	0	0	0	21	1	5	11	3	0	6	56	2	41	0	5	0	0	0	1	11	0	2	2	69	29	0	47	4	7	6	20	0	8	0	54	0	1	5	324	0	3	19	1	0	52	9	1	0	36	8	2	11	5	1	4	0	6	0	27	2	0	18	24	72	292	0	23	1	2	2	30	99	7	5	5	21	45	8	0	27	6	8	1	0	0	2	1	109	0	7	2
ZOTU1536	2	0	20	27	19	38	39	16	336	469	625	19	29	0	43	39	575	9	9	2	23	149	73	95	19	22	9	56	46	449	1178	802	18	15	55	28	123	48	2	155	1	56	5	12	19	10	19	54	28	23	238	522	136	43	32	38	230	9	5	19	28	0	5	4	20	65	20	40	6	100	53	1242	531	569	49	27	496	57	51	24	3	2	5	13	2	1	120	71	3	30	16	9	106	131	92	10	55	5	6	74	37	13	50	87	122	1	15	11	1	0	13	52	77	19	103	35	1	97	198	466	1	1	52	91	60	2	35	18
ZOTU5	2	3	219	90	217	112	188	139	19	17	29	131	376	235	65	427	15	27	267	214	45	89	204	66	90	31	91	85	97	139	37	28	1712	1690	591	119	546	691	5818	4189	1975	149	439	60	583	163	421	379	444	376	69	98	33	1353	2128	2004	976	1655	453	1539	384	2919	1366	332	160	144	36	81	1235	77	60	11	3	4	80	235	605	299	18	225	69	19	147	17	33	13	190	280	199	22	91	19	5	10	15	221	274	291	67	239	51	546	108	504	1	46	159	73	568	3	15	580	11	3	2	10	3	5	87	510	1	1	37	16	326	131	373	68
